"username","password_hash","full_name","gender","user_type"
"Ginetto","$2a$12$6Tc3QMbLCBa0LLqaahCfd.3JqBmw/2GTd8GaGxGy7D4XQx30sK.3K","Jack Lo Squartatore","Other","FAN"
"jane_smith","$2a$12$jTmlbkXVCK/xug1rCdAlFOU5irQIzp7aiH1yNOmDCyOOy6fUw4x/m","Jane Smith","Female","FAN"
"john_doe","$2a$12$uAeP.KD1TbNmfRmcMhCeq.v8Mt.jHZ8TJA3lUrNBidB8zy08EdPy2","John Doe","Male","FAN"
"LolloIlCampione","$2a$12$IK2RY.SGSt03viYqkVPk7.PnNOQIvELcr7I9RzeiZ5AaryXnkEWfq","Elia Cinti","Male","VENUE_MANAGER"
"sarah_owner","$2a$12$qxrOqVtDD0k9pscP.LwNN.SO/ZT0nxRTVW3GtT7B2Aic2dYhr29Bm","Sarah Owner","Female","VENUE_MANAGER"
"mike_manager","$2a$12$o.FbNg/ypxy10.wpK8RU4.UcCKlnYcfTsqx752eK2sSfeNW7Rw1PK","Mike Manager","Male","VENUE_MANAGER"
"junit_test_fan","hashed_password123","Fan Test","Male","FAN"
"junit_test_fan","hashed_Pass123!","Junit Fan","Male","FAN"
"junit_test_fan","hashed_Pass123!","Old Name","Male","FAN"
"junit_test_fan","hashed_password123","Fan Test","Male","FAN"
"junit_test_fan","hashed_password123","Fan Test","Male","FAN"
